
5			0	0	
			1	2	
			703.6000	703.6000	
			184.2000	264.4000	
178	28.1425	-6.54297	0.0000	5.0000	1	178
179	28.1925	-6.54297	0.0000	2.0000	1	179
180	28.2425	-6.54297	9.0000	0.0000	1	180
181	28.2925	-6.54297	8.0000	0.0000	1	181
182	28.3425	-6.54297	7.0000	11.0000	1	182
183	19.2925	-6.49297	13.0000	27.0000	1	183
184	19.3425	-6.49297	0.0000	44.0000	1	184
185	19.3925	-6.49297	0.0000	22.0000	1	185
186	19.4425	-6.49297	0.0000	0.0000	1	186
187	19.4925	-6.49297	0.0000	0.0000	1	187
188	19.5425	-6.49297	0.0000	17.0000	1	188
189	19.5925	-6.49297	0.0000	11.0000	1	189
190	19.6425	-6.49297	0.0000	0.0000	1	190
191	19.6925	-6.49297	0.0000	0.0000	1	191
192	19.7425	-6.49297	0.0000	0.0000	1	192
193	19.7925	-6.49297	11.0000	0.0000	1	193
194	19.8425	-6.49297	5.0000	0.0000	1	194
195	19.8925	-6.49297	0.0000	0.0000	1	195
196	19.9425	-6.49297	5.0000	0.0000	1	196
197	19.9925	-6.49297	0.0000	0.0000	1	197
198	20.0425	-6.49297	0.0000	0.0000	1	198
199	20.0925	-6.49297	22.0000	3.0000	1	199
200	20.1425	-6.49297	27.0000	1.0000	1	200
201	20.1925	-6.49297	0.0000	0.0000	1	201
202	20.2425	-6.49297	0.0000	2.0000	1	202
203	20.2925	-6.49297	0.0000	1.0000	1	203
204	20.3425	-6.49297	0.0000	0.0000	1	204
205	20.3925	-6.49297	0.0000	0.0000	1	205
206	20.4425	-6.49297	0.0000	7.0000	1	206
207	20.4925	-6.49297	0.0000	7.0000	1	207
208	20.5425	-6.49297	0.0000	7.0000	1	208
209	20.5925	-6.49297	0.0000	0.0000	1	209
210	20.6425	-6.49297	0.0000	0.0000	1	210
211	20.6925	-6.49297	10.0000	6.0000	1	211
212	20.7425	-6.49297	8.0000	0.0000	1	212
213	20.7925	-6.49297	0.0000	0.0000	1	213
214	20.8425	-6.49297	0.0000	0.0000	1	214
215	20.8925	-6.49297	0.0000	0.0000	1	215
216	20.9425	-6.49297	7.0000	3.0000	1	216
217	20.9925	-6.49297	6.0000	2.0000	1	217
218	21.0425	-6.49297	0.0000	0.0000	1	218
219	21.0925	-6.49297	0.0000	0.0000	1	219
220	21.1425	-6.49297	4.0000	0.0000	1	220
221	21.1925	-6.49297	2.0000	0.0000	1	221
222	21.2425	-6.49297	0.0000	0.0000	1	222
223	21.2925	-6.49297	0.0000	0.0000	1	223
224	21.3425	-6.49297	0.0000	0.0000	1	224
225	21.3925	-6.49297	0.0000	0.0000	1	225
226	21.4425	-6.49297	6.0000	0.0000	1	226
227	21.4925	-6.49297	18.0000	0.0000	1	227
228	21.5425	-6.49297	16.0000	0.0000	1	228
229	21.5925	-6.49297	9.0000	0.0000	1	229
230	21.6425	-6.49297	0.0000	0.0000	1	230
231	21.6925	-6.49297	7.0000	5.0000	1	231
232	21.7425	-6.49297	5845.0000	28.0000	1	232
233	21.7925	-6.49297	11683.0000	52.0000	1	233
234	21.8425	-6.49297	83762.0000	74.0000	1	234
235	21.8925	-6.49297	126248.0000	96.0000	1	235
236	21.9425	-6.49297	232941.0000	185.0000	1	236
237	21.9925	-6.49297	241930.0000	203.0000	1	237
238	22.0425	-6.49297	350759.0000	222.0000	1	238
239	22.0925	-6.49297	385275.0000	459.0000	1	239
240	22.1425	-6.49297	419790.0000	1564.0000	1	240
241	22.1925	-6.49297	433275.0000	1395.0000	1	241
242	22.2425	-6.49297	446760.0000	825.0000	1	242
243	22.2925	-6.49297	449961.0000	753.0000	1	243
244	22.3425	-6.49297	548592.0000	919.0000	1	244
245	22.3925	-6.49297	610386.0000	1084.0000	1	245
246	22.4425	-6.49297	556000.0000	535.0000	1	246
247	22.4925	-6.49297	660966.0000	1925.0000	1	247
248	22.5425	-6.49297	1193497.0000	1607.0000	1	248
249	22.5925	-6.49297	1160529.0000	1290.0000	1	249
250	22.6425	-6.49297	849810.0000	1827.0000	1	250
251	22.6925	-6.49297	1348003.0000	1398.0000	1	251
252	22.7425	-6.49297	1043232.0000	2015.0000	1	252
253	22.7925	-6.49297	838034.0000	1682.0000	1	253
254	22.8425	-6.49297	1087741.0000	1350.0000	1	254
255	22.8925	-6.49297	1036390.0000	2278.0000	1	255
256	22.9425	-6.49297	985038.0000	2237.0000	1	256
257	22.9925	-6.49297	1610262.0000	4027.0000	1	257
258	23.0425	-6.49297	5022236.0000	5436.0000	1	258
259	23.0925	-6.49297	5506656.0000	4231.0000	1	259
260	23.1425	-6.49297	3161150.0000	3026.0000	1	260
261	23.1925	-6.49297	2280888.0000	5265.0000	1	261
262	23.2425	-6.49297	2948380.0000	3826.0000	1	262
263	23.2925	-6.49297	1593735.0000	1156.0000	1	263
264	23.3425	-6.49297	1756312.0000	4329.0000	1	264
265	23.3925	-6.49297	3953624.0000	6761.0000	1	265
266	23.4425	-6.49297	4426664.0000	6957.0000	1	266
267	23.4925	-6.49297	4449768.0000	6043.0000	1	267
268	23.5425	-6.49297	1446304.0000	1066.0000	1	268
269	23.5925	-6.49297	573636.0000	1932.0000	1	269
270	23.6425	-6.49297	983635.0000	3088.0000	1	270
271	23.6925	-6.49297	2123646.0000	5581.0000	1	271
272	23.7425	-6.49297	2601278.0000	4428.0000	1	272
273	23.7925	-6.49297	3078912.0000	4294.0000	1	273
274	23.8425	-6.49297	3331162.0000	4159.0000	1	274
275	23.8925	-6.49297	2246062.0000	4700.0000	1	275
276	23.9425	-6.49297	3975812.0000	5241.0000	1	276
277	23.9925	-6.49297	1214869.0000	2625.0000	1	277
278	24.0425	-6.49297	2054087.0000	2053.0000	1	278
279	24.0925	-6.49297	1061508.0000	1757.0000	1	279
280	24.1425	-6.49297	934936.0000	4322.0000	1	280
281	24.1925	-6.49297	2435662.0000	5131.0000	1	281
282	24.2425	-6.49297	3095096.0000	4782.0000	1	282
283	24.2925	-6.49297	3694714.0000	4391.0000	1	283
284	24.3425	-6.49297	2345742.0000	4000.0000	1	284
285	24.3925	-6.49297	951609.0000	2729.0000	1	285
286	24.4425	-6.49297	1034779.0000	2643.0000	1	286
287	24.4925	-6.49297	2947468.0000	3307.0000	1	287
288	24.5425	-6.49297	3235388.0000	2882.0000	1	288
289	24.5925	-6.49297	1503531.0000	2457.0000	1	289
290	24.6425	-6.49297	857898.0000	2700.0000	1	290
291	24.6925	-6.49297	1617032.0000	3518.0000	1	291
292	24.7425	-6.49297	1771899.0000	4337.0000	1	292
